United States COVID-19 Cases and Deaths by State,,,,,,,,,,,,
Date generated: Mon Mar 08 2021 11:52:45 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,
,,,,,,,,,,,,
State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000
Alaska,56886,0,0,897,7776,301,null,null,14,41,122.6,1.9
Alabama,499411,391817,107594,6728,10185,10149,7963,2186,219,206,137.2,4.5
Arkansas,324653,0,0,5458,10758,5297,null,null,0,175,180.9,-4
American Samoa,4,0,0,0,7,0,null,null,0,0,0,0
Arizona,825119,768757,56362,9412,11336,16323,14395,1928,356,224,129.3,4.9
California,3497578,0,0,26701,8852,53866,null,null,2045,136,67.6,5.2
Colorado,435762,410976,24786,8300,7567,5986,5251,735,41,103,144.1,0.7
Connecticut,285330,265709,19621,5384,8003,7704,6327,1377,82,216,151,2.3
District of Columbia,41273,0,0,795,5848,1030,null,null,20,145,112.7,2.8
Delaware,88139,83424,4715,1622,9051,1464,1328,136,46,150,166.6,4.7
Florida,1905185,0,0,36416,8870,31620,null,null,886,147,169.6,4.1
Federated States of Micronesia,1,1,0,0,1,0,null,null,0,0,0,0
Georgia,1021778,827397,194381,17591,9624,17905,15597,2308,611,168,165.7,5.8
Guam,7749,0,0,15,4675,133,null,null,3,80,9.1,1.8
Hawaii,26984,0,0,317,1906,441,null,null,5,31,22.4,0.4
Iowa,339258,0,0,3251,10753,5552,null,null,82,175,103,2.6
Idaho,172931,139874,33057,1791,9677,1879,1652,227,19,105,100.2,1.1
Illinois,1197267,1197267,0,11820,9448,23002,20750,2252,292,181,93.3,2.3
Indiana,666516,0,0,5574,9900,12726,12299,427,170,189,82.8,2.5
Kansas,295861,240153,55708,2198,10156,4812,null,null,77,165,75.5,2.6
Kentucky,410184,313998,96186,6237,9181,4806,4356,450,181,107,139.6,4.1
Louisiana,433045,0,0,4453,9315,9716,9007,709,129,209,95.8,2.8
Massachusetts,567698,557802,9896,8928,8236,16252,16044,208,300,235,129.5,4.4
Maryland,387319,0,0,5220,6406,7955,7773,182,86,131,86.3,1.4
Maine,45792,35845,9947,1158,3407,706,683,23,3,52,86.2,0.2
Michigan,656072,596054,60018,10522,6569,16658,15666,992,150,166,105.4,1.5
Minnesota,489116,0,0,5326,8673,6614,6272,342,71,117,94.4,1.3
Missouri,480643,0,0,2419,7831,8161,null,null,242,132,39.4,3.9
Northern Mariana Islands,144,144,0,1,0,2,2,0,0,3,0,0
Mississippi,297581,184278,113303,2786,9999,6808,4737,2071,127,228,93.6,4.3
Montana,100842,95336,5506,1005,9435,1381,1381,0,25,129,94,2.3
North Carolina,872176,759617,112559,13628,8316,11502,10169,1333,290,109,129.9,2.8
North Dakota,100391,94928,5463,582,13174,1449,null,null,4,190,76.4,0.5
Nebraska,202653,0,0,1933,10476,2113,null,null,31,109,99.9,1.6
New Hampshire,76695,0,0,1529,5640,1181,null,null,11,86,112.5,0.8
New Jersey,810090,718873,91217,23123,9120,23557,21160,2397,319,265,260.3,3.6
New Mexico,186742,0,0,1854,8906,3796,null,null,96,181,88.4,4.6
Nevada,295960,0,0,2472,9609,5036,null,null,79,163,80.3,2.6
New York,938986,0,0,23663,8494,18201,null,null,237,164,214.1,2.1
New York City,753647,634083,119564,27091,8973,29822,24795,5027,489,355,322.6,5.8
Ohio,977736,835856,141880,11582,8364,17656,17656,0,419,151,99.1,3.6
Oklahoma,430395,332866,97529,4043,10877,4715,4126,589,277,119,102.2,7
Oregon,157079,157079,0,1764,3724,2296,2296,0,88,54,41.8,2.1
Pennsylvania,946985,813059,133926,17288,7397,24317,null,null,317,189,135,2.5
Puerto Rico,101632,93620,8012,1335,3182,2062,2062,0,26,64,41.8,0.8
Palau,0,0,0,0,0,0,null,null,0,0,0,0
Rhode Island,128121,0,0,2499,12094,2541,null,null,39,239,235.9,3.7
Republic of Marshall Islands,4,4,0,0,7,0,null,null,0,0,0,0
South Carolina,524187,449067,75120,6785,10181,8720,null,null,109,169,131.8,2.1
South Dakota,113378,0,0,1085,12816,1898,1539,359,12,214,122.7,1.4
Tennessee,782206,653905,128301,8319,11454,11543,9278,2265,150,169,121.8,2.2
Texas,2683865,0,0,43656,9256,44367,null,null,1628,153,150.6,5.6
Utah,374438,374438,0,3668,11679,1975,1919,56,46,61,114.4,1.4
Virginia,585700,461172,124528,9650,6862,9596,8104,1492,1044,112,113.1,12.2
Virgin Islands,2735,0,0,89,2613,25,null,null,0,23,85,0
Vermont,15964,0,0,866,2558,208,null,null,4,33,138.8,0.6
Washington,344532,0,0,4759,4524,5041,null,null,85,66,62.5,1.1
Wisconsin,621277,566364,54913,4391,10670,7102,6478,624,88,121,75.4,1.5
West Virginia,133290,106513,26777,1710,7437,2323,null,null,26,129,95.4,1.5
Wyoming,54764,46397,8367,414,9462,682,682,0,11,117,71.5,1.9
United States of America,28771749,13206673,1919236,412103,8666,522973,261747,30695,12087,157,124.1,3.6
